start_date,end_date,icd10_code,description,breakdown,usage
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,main_diagnosis,287
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,all_diagnoses,121645
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,male,58670
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,female,62059
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,gender_unknown,916
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_0,2
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_1_4,539
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_5_9,6869
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_10_14,12908
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_15,3451
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_16,3226
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_17,3515
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_18,3604
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_19,3347
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_20_24,16168
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_25_29,16443
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_30_34,16550
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_35_39,11342
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_40_44,7154
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_45_49,4896
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_50_54,3818
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_55_59,2507
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_60_64,1274
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_65_69,658
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_70_74,340
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_75_79,182
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_80_84,70
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_85_89,30
2024-04-01,2025-03-31,F900,Disturbance of activity and attention,age_over_90,11
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,main_diagnosis,4
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,all_diagnoses,218
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,male,127
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,female,89
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,gender_unknown,2
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_0,0
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_1_4,2
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_5_9,11
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_10_14,16
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_15,3
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_16,8
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_17,3
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_18,8
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_19,10
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_20_24,31
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_25_29,36
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_30_34,23
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_35_39,14
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_40_44,8
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_45_49,10
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_50_54,10
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_55_59,3
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_60_64,8
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_65_69,5
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_70_74,1
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_75_79,3
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_80_84,1
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_85_89,0
2024-04-01,2025-03-31,F901,Hyperkinetic conduct disorder,age_over_90,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,main_diagnosis,2
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,all_diagnoses,62
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,male,43
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,female,19
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,gender_unknown,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_0,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_1_4,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_5_9,4
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_10_14,12
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_15,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_16,1
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_17,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_18,7
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_19,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_20_24,6
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_25_29,2
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_30_34,4
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_35_39,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_40_44,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_45_49,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_50_54,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_55_59,4
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_60_64,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_65_69,4
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_70_74,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_75_79,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_80_84,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_85_89,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_over_90,0
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",main_diagnosis,24
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",all_diagnoses,1668
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",male,836
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",female,822
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",gender_unknown,10
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_0,0
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_1_4,58
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_5_9,147
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_10_14,197
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_15,39
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_16,35
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_17,33
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_18,35
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_19,25
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_20_24,197
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_25_29,184
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_30_34,199
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_35_39,120
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_40_44,111
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_45_49,46
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_50_54,52
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_55_59,47
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_60_64,22
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_65_69,20
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_70_74,12
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_75_79,12
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_80_84,10
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_85_89,8
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_over_90,2
