"Code","Name","Primary Role Name","Non Primary Role Name(s)","Legal Start Date","Legal End Date","Operational Start Date","Operational End Date","Status","Address Line 1","Town","Postcode","Predecessor(s)","Successor(s)"
"D7T5G","NHS ESSEX INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2026","","13-11-2025","","Active","SEAX HOUSE","CHELMSFORD","CM1 1QH","QJG | QM7 | QH8",""
"QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","LEVEL 3, CHRIST CHURCH PRECINCT","PRESTON","PR1 8XB","",""
"QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","197 EYRE STREET","SHEFFIELD","S1 3FG","",""
"QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","KIRKHAM HOUSE","WORCESTER","WR3 7NS","",""
"QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2018","31-03-2026","01-04-2017","","Active","SWIFT HOUSE","CHELMSFORD","CM2 5PF","","D7T5G"
"QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","PRIORY HOUSE","SHEFFORD","SG17 5TQ","","S1Y5D"
"QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","ALPHA TOWER","BIRMINGHAM","B1 1TT","",""
"QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2018","","01-04-2018","","Active","PEMBERTON HOUSE","SUNDERLAND","SR5 3XB","QVP | QT8 | QMK",""
"QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","COUNCIL HOUSE","DERBY","DE1 2FS","",""
"QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","ENDEAVOUR HOUSE","IPSWICH","IP1 2BX","","D7T5G | T6Y0W"
"QJK","NHS DEVON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","APERTURE","EXETER","EX2 5AZ","",""
"QJM","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","WYVERN HOUSE","LINCOLN","LN5 7LH","",""
"QK1","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","ROOM 30 PEN LLOYD BUILDING","LEICESTER","LE3 8TB","",""
"QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","SOUTHWARK COUNCIL","LONDON","SE1 2QH","",""
"QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","GAIL HOUSE","MAIDSTONE","ME15 6NB","",""
"QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","CHARTER HOUSE","WELWYN GARDEN CITY","AL8 6JL","","S1Y5D | D7T5G"
"QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","UNEX TOWER","LONDON","E15 1DA","",""
"QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","CAMDEN COUNCIL","LONDON","N1C 4AG","","Z9B2Z"
"QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2018","31-03-2026","01-04-2017","","Active","COUNTY HALL","NORWICH","NR1 2DH","","T6Y0W"
"QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","1 STAFFORDSHIRE PLACE","STAFFORD","ST16 2LP","",""
"QNQ","NHS FRIMLEY INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","KING EDWARD VII HOSPITAL","WINDSOR","SL4 3DP","","S0E4D | S9B9J | QRL"
"QNX","NHS SUSSEX INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","SACKVILLE HOUSE","LEWES","BN7 2FZ","","S9B9J"
"QOC","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","WELLINGTON CIVIC OFFICES","TELFORD","TF1 1LX","",""
"QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","TOOTAL BUILDINGS","MANCHESTER","M1 6EU","",""
"QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2018","","01-04-2017","","Active","HEALTH HOUSE","HULL","HU10 6DT","",""
"QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","JENNER HOUSE","CHIPPENHAM","SN15 1GG","",""
"QPM","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","HAYLOCK HOUSE","KETTERING","NN15 6EY","",""
"QR1","NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","SANGER HOUSE UNIT 5220","GLOUCESTER","GL3 4FE","",""
"QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","OMEGA HOUSE","EASTLEIGH","SO50 5PB","QNQ",""
"QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","15 MARYLEBONE ROAD","LONDON","NW1 5JD","","Z9B2Z"
"QSL","NHS SOMERSET INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","2ND FLOOR MALLARD COURT","BRIDGWATER","TA6 4RN","",""
"QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","SIR JOHN ROBINSON HOUSE","NOTTINGHAM","NG5 6DA","",""
"QT6","NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","PART 2S","BODMIN","PL31 2FR","",""
"QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","FIRST FLOOR, UNIPART HOUSE","OXFORD","OX4 2PG","","S0E4D"
"QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","CIVIC CENTRE","WOLVERHAMPTON","WV1 1SD","",""
"QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","GEMINI HOUSE","ELY","CB7 4EA","","S1Y5D"
"QUY","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","100 TEMPLE STREET","BRISTOL","BS1 6AG","",""
"QVV","NHS DORSET INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","VESPASIAN HOUSE","DORCHESTER","DT1 1TS","",""
"QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","120 THE BROADWAY","LONDON","SW19 1RH","",""
"QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","WHITE ROSE HOUSE","WAKEFIELD","WF1 1LT","",""
"QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","SHIRE HALL","WARWICK","CV34 4RL","",""
"QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","31-03-2026","01-04-2017","","Active","DUKES COURT","WOKING","GU21 5BH","","S9B9J"
"QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2017","","01-04-2017","","Active","NO 1 LAKESIDE","WARRINGTON","WA1 1QY","",""
"S0E4D","NHS THAMES VALLEY INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2026","","13-11-2025","","Active","UNIPART HOUSE","OXFORD","OX4 2PG","QNQ | QU9",""
"S1Y5D","NHS CENTRAL EAST INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2026","","13-11-2025","","Active","GEMINI HOUSE","ELY","CB7 4EA","QHG | QUE | QM7",""
"S9B9J","NHS SURREY AND SUSSEX INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2026","","13-11-2025","","Active","SACKVILLE HOUSE","LEWES","BN7 2FZ","QNX | QNQ | QXU",""
"T6Y0W","NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2026","","13-11-2025","","Active","COUNTY HALL","NORWICH","NR1 2DH","QMM | QJG",""
"Z9B2Z","NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD","STRATEGIC PARTNERSHIP","INTEGRATED CARE BOARD","01-04-2026","","13-11-2025","","Active","15 MARYLEBONE ROAD","LONDON","NW1 5JD","QMJ | QRV",""
